기간,자치구,초·중·고 학생수,사설학원수,학생1만명당 사설학원수
2020,합계,840933 ,13992 ,166 
2020,종로구,16452 ,243 ,148 
2020,중구,13566 ,109 ,80 
2020,용산구,15852 ,154 ,97 
2020,성동구,20447 ,289 ,141 
2020,광진구,28972 ,405 ,140 
2020,동대문구,26533 ,350 ,132 
2020,중랑구,27353 ,262 ,96 
2020,성북구,37884 ,439 ,116 
2020,강북구,21398 ,206 ,96 
2020,도봉구,27661 ,297 ,107 
2020,노원구,61078 ,718 ,118 
2020,은평구,43300 ,519 ,120 
2020,서대문구,24144 ,348 ,144 
2020,마포구,27821 ,689 ,248 
2020,양천구,52115 ,1008 ,193 
2020,강서구,51758 ,694 ,134 
2020,구로구,35384 ,394 ,111 
2020,금천구,16497 ,212 ,129 
2020,영등포구,25331 ,445 ,176 
2020,동작구,29160 ,471 ,162 
2020,관악구,30710 ,431 ,140 
2020,서초구,43580 ,1148 ,263 
2020,강남구,59344 ,2361 ,398 
2020,송파구,62219 ,1076 ,173 
2020,강동구,42374 ,724 ,171 